Build #,Build,Item #,Item,Item cost EUR,Purchase URL
1,Simon Memory Console,1,Pico WH,7.20,https://www.berrybase.de/en/raspberry-pi/raspberry-pi-microcontroller/
1,Simon Memory Console,2,4x arcade button,11.60,https://www.berrybase.de/en/arcade-button-44mm-beleuchtet-led-12v-dc
1,Simon Memory Console,3,16-LED ring,4.80,https://www.berrybase.de/en/neopixel-ring-with-16-ws2812-5050-rgb-leds
1,Simon Memory Console,4,buzzer,1.10,https://www.berrybase.de/en/ky-006-passive-buzzer-module/
1,Simon Memory Console,5,breadboard,1.50,https://www.berrybase.de/en/breadboard-with-400-contacts
1,Simon Memory Console,6,Dupont kit,4.40,https://www.berrybase.de/en/40pin-jumper-dupont-cable-set-1x-each-f-f-m-m-f-m-10cm/
2,Wi-Fi LED News Ticker,1,Pico WH,7.20,https://www.berrybase.de/en/raspberry-pi/raspberry-pi-microcontroller/
2,Wi-Fi LED News Ticker,2,MAX7219 4x8x8 matrix,4.90,https://www.berrybase.de/en/detail/019234a653f37230909d6bbf6fe51d8f
2,Wi-Fi LED News Ticker,3,breadboard,1.50,https://www.berrybase.de/en/breadboard-with-400-contacts
2,Wi-Fi LED News Ticker,4,Dupont kit,4.40,https://www.berrybase.de/en/40pin-jumper-dupont-cable-set-1x-each-f-f-m-m-f-m-10cm/
3,Retro Matrix Terminal,1,Pico WH,7.20,https://www.berrybase.de/en/raspberry-pi/raspberry-pi-microcontroller/
3,Retro Matrix Terminal,2,2x MAX7219 matrices,9.80,https://www.berrybase.de/en/detail/019234a653f37230909d6bbf6fe51d8f
3,Retro Matrix Terminal,3,breadboard,1.50,https://www.berrybase.de/en/breadboard-with-400-contacts
3,Retro Matrix Terminal,4,Dupont kit,4.40,https://www.berrybase.de/en/40pin-jumper-dupont-cable-set-1x-each-f-f-m-m-f-m-10cm/
4,Arcade Reaction Timer,1,Nano,6.90,https://www.berrybase.de/en/compatible-arduino-nano-with-atmel-mega-328p-processor-ch340g-usb-chipset
4,Arcade Reaction Timer,2,TM1637 display,1.40,https://www.berrybase.de/en/7-segment-led-display-modul-i2c-schnittstelle-tm1637-14mm-rot
4,Arcade Reaction Timer,3,arcade button,2.90,https://www.berrybase.de/en/arcade-button-44mm-beleuchtet-led-12v-dc
4,Arcade Reaction Timer,4,buzzer,1.10,https://www.berrybase.de/en/ky-006-passive-buzzer-module/
4,Arcade Reaction Timer,5,breadboard,1.50,https://www.berrybase.de/en/breadboard-with-400-contacts
4,Arcade Reaction Timer,6,Dupont kit,4.40,https://www.berrybase.de/en/40pin-jumper-dupont-cable-set-1x-each-f-f-m-m-f-m-10cm/
5,LED Decision Machine,1,ESP32,6.80,https://www.berrybase.de/en/berrybase-nodemcu-esp32-dev-board-wroom32-240-mhz-dual-core-cp2102-34-gpio-5v-unsoldered/
5,LED Decision Machine,2,60-LED ring,17.50,https://www.berrybase.de/en/sensors-modules/led/ws2812-13-neopixel/rings/
5,LED Decision Machine,3,Mean Well 5V/4A PSU,12.90,https://www.berrybase.de/en/meanwell-switching-power-supply-5v-dc-4.0a-with-hollow-plug-5.5x2.1mm
